Subject,Location,Start date,Start Time,Description
JV at Chillicothe (S),Chillicothe HS,3/18/2019,17:00,Bus @ 3:30:00 PM
JV at Waverly (S),Waverly HS,3/20/2019,17:00,Bus @ 3:30:00 PM
JV vs Gallia Academy (S),Adena HS,3/21/2019,17:30,-
JV vs Hillsboro (1),Adena HS,3/23/2019,10:00,-
JV vs Miami Trace,Adena HS,3/25/2019,17:00,-
JV vs Wheelersburg,Adena HS,3/28/2019,17:30,-
JV at Wheelersburg (DH),Wheelersburg HS,3/30/2019,12:00,
JV vs Westfall,Adena HS,4/1/2019,17:00,-
JV at Zane Trace,Zane Trace HS,4/3/2019,17:00,
JV at Huntington,Huntington HS,4/5/2019,17:00,
JV vs Circleville (1),Adena HS,4/6/2019,11:00,-
JV vs Paint Valley,Adena HS,4/8/2019,17:00,-
JV at Washington,Washington HS,4/9/2019,17:00,Bus @ 3:45:00 PM
JV vs Piketon,Adena HS,4/10/2019,17:00,-
JV at Southeastern,Southeastern HS,4/12/2019,17:00,
JV at Farm Team Wooden Bat Classic,Portsmouth West HS,4/13/2019,,
JV vs Unioto,Adena HS,4/15/2019,17:00,-
JV at Westfall,Westfall HS,4/17/2019,17:00,
Good Friday,,4/19/2019,,
Easter,,4/21/2019,,
JV vs Zane Trace,Adena,4/22/2019,17:00,-
JV vs Huntington,Adena,4/24/2019,17:00,-
JV at Miami Trace,Miami Trace HS,4/25/2019,17:00,Bus @ 3:45:00 PM
JV at Paint Valley,Paint Valley HS,4/26/2019,17:00,
NO JV GAMES,,4/27/2019,,
JV at Piketon,Piketon HS,4/29/2019,17:00,
JV vs Wheelersburg,Adena HS,4/30/2019,17:30,-
JV vs Southeastern,Adena HS,5/1/2019,,-
JV vs Washington,Adena HS,5/2/2019,17:00,-
JV at Unioto,Unioto HS,5/3/2019,,
Adena Prom,No Games,5/4/2019,,
JV at Logan Elm,Logan Elm HS,5/7/2019,17:00,Bus @ 3:30:00 PM
JV vs Chillicothe,Adena HS,5/11/2019,11:00,-
Future Warriors Showcase,Adena HS,5/12/2019,14:00,
