Subject,Location,Start date,Start Time,Description
at Chillicothe (S),Chillicothe HS,3/18/2019,17:00,Bus @ 3:30:00 PM
at Waverly (S),Waverly HS,3/20/2019,17:00,Bus @ 3:30:00 PM
Gallia Academy (S),Adena HS,3/21/2019,17:30,-
Hillsboro (1),Adena HS,3/23/2019,10:00,-
Miami Trace,Adena HS,3/25/2019,17:00,-
Wheelersburg,Adena HS,3/28/2019,17:30,-
at Wheelersburg (DH),Wheelersburg HS,3/30/2019,12:00,
Westfall,Adena HS,4/1/2019,17:00,-
at Zane Trace,Zane Trace HS,4/3/2019,17:00,
at Huntington,Huntington HS,4/5/2019,17:00,
Circleville (1),Adena HS,4/6/2019,11:00,-
Paint Valley,Adena HS,4/8/2019,17:00,-
at Washington,Washington HS,4/9/2019,17:00,Bus @ 3:45:00 PM
Piketon,Adena HS,4/10/2019,17:00,-
at Southeastern,Southeastern HS,4/12/2019,17:00,
Farm Team Wooden Bat Classic,Portsmouth West HS,4/13/2019,,
Unioto,Adena HS,4/15/2019,17:00,-
at Westfall,Westfall HS,4/17/2019,17:00,
Good Friday,,4/19/2019,,
Easter,,4/21/2019,,
Zane Trace,Adena,4/22/2019,17:00,-
Huntington,Adena,4/24/2019,17:00,-
at Miami Trace,Miami Trace HS,4/25/2019,17:00,Bus @ 3:45:00 PM
at Paint Valley,Paint Valley HS,4/26/2019,17:00,
NO JV GAMES,,4/27/2019,,
at Piketon,Piketon HS,4/29/2019,17:00,
Wheelersburg,Adena HS,4/30/2019,17:30,-
Southeastern,Adena HS,5/1/2019,,-
Washington,Adena HS,5/2/2019,17:00,-
at Unioto,Unioto HS,5/3/2019,,
Adena Prom,No Games,5/4/2019,,
at Logan Elm,Logan Elm HS,5/7/2019,17:00,Bus @ 3:30:00 PM
Chillicothe,Adena HS,5/11/2019,11:00,-
Future Warriors Showcase,Adena HS,5/12/2019,14:00,4/30/2019
